Configuration	Term	J	Prefix	Level (eV)	Suffix	Uncertainty (eV)	Lande	Reference
"5p5.(2P*<1/2>).7s"	"2[1/2]*"	"0"	""	"11.867885"	""	""	""	"L3466"
"5p5.(2P*<1/2>).7s"	"2[1/2]*"	"1"	""	"11.8777586"	""	""	"1.308"	"L9794"
"5p5.(2P*<3/2>).11p"	"2[1/2]"	"1"	"["	"11.88150"	"]"	""	""	"L3466"
"5p5.(2P*<3/2>).11p"	"2[1/2]"	"0"	""	"11.892010"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11p"	"2[5/2]"	"2"	"["	"11.88371"	"]"	""	""	"L3466"
"5p5.(2P*<3/2>).11p"	"2[5/2]"	"3"	""	"11.884900"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11p"	"2[3/2]"	"1"	""	"11.886451"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11p"	"2[3/2]"	"2"	""	"11.887531"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[7/2]*"	"4"	""	"11.8891168"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[7/2]*"	"3"	""	"11.8915728"	""	""	"1.081"	"L763"
"5p5.(2P*<3/2>).10d"	"2[1/2]*"	"0"	""	"11.889620"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[1/2]*"	"1"	""	"11.8916815"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[3/2]*"	"2"	""	"11.8906550"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[3/2]*"	"1"	""	"11.908158"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[5/2]*"	"2"	""	"11.894027"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10d"	"2[5/2]*"	"3"	""	"11.8958601"	""	""	""	"L763"
"5p5.(2P*<3/2>).8f"	"2[3/2]"	"1"	""	"11.914417"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[3/2]"	"2"	""	"11.914548"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[9/2]"	"5"	""	"11.914956"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[9/2]"	"4"	""	"11.914974"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[5/2]"	"3"	""	"11.915664"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[5/2]"	"2"	""	"11.915794"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12s"	"2[3/2]*"	"2"	""	"11.916025"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12s"	"2[3/2]*"	"1"	""	"11.917705"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[7/2]"	"3"	""	"11.916266"	""	""	""	"L3466"
"5p5.(2P*<3/2>).8f"	"2[7/2]"	"4"	""	"11.916275"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12p"	"2[1/2]"	"1"	"["	"11.93715"	"]"	""	""	"L3466"
"5p5.(2P*<3/2>).12p"	"2[1/2]"	"0"	""	"11.944367"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12p"	"2[5/2]"	"2"	""	"11.93869"	""	""	""	"L10346"
"5p5.(2P*<3/2>).12p"	"2[5/2]"	"3"	""	"11.939548"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[1/2]*"	"0"	""	"11.940251"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[1/2]*"	"1"	""	"11.941558"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12p"	"2[3/2]"	"1"	""	"11.940529"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12p"	"2[3/2]"	"2"	""	"11.941276"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[7/2]*"	"4"	""	"11.942350"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[7/2]*"	"3"	""	"11.9439532"	""	""	"1.082"	"L3466"
"5p5.(2P*<3/2>).11d"	"2[3/2]*"	"2"	""	"11.943227"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[3/2]*"	"1"	""	"11.955024"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[5/2]*"	"2"	""	"11.945633"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11d"	"2[5/2]*"	"3"	""	"11.946939"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[3/2]"	"1"	""	"11.959842"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[3/2]"	"2"	""	"11.959921"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[9/2]"	"5"	""	"11.960214"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[9/2]"	"4"	""	"11.960225"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[5/2]"	"3"	""	"11.960722"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[5/2]"	"2"	""	"11.960804"	""	""	""	"L3466"
"5p5.(2P*<3/2>).13s"	"2[3/2]*"	"2"	""	"11.961020"	""	""	""	"L3466"
"5p5.(2P*<3/2>).13s"	"2[3/2]*"	"1"	""	"11.962072"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[7/2]"	"3"	""	"11.961146"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9f"	"2[7/2]"	"4"	""	"11.961146"	""	""	""	"L3466"
"5p5.(2P*<3/2>).13p"	"2[5/2]"	"2"	""	"11.97707"	""	""	""	"L10346"
"5p5.(2P*<3/2>).13p"	"2[5/2]"	"3"	""	"11.977713"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12d"	"2[1/2]*"	"0"	""	"11.97794"	""	""	""	"L11704"
"5p5.(2P*<3/2>).12d"	"2[1/2]*"	"1"	""	"11.9788939"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13p"	"2[3/2]"	"2"	""	"11.978969"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12d"	"2[7/2]*"	"4"	""	"11.9796892"	""	""	""	"L5558"
"5p5.(2P*<3/2>).12d"	"2[7/2]*"	"3"	""	"11.9807927"	""	""	""	"L5558"
"5p5.(2P*<3/2>).12d"	"2[3/2]*"	"2"	""	"11.9802232"	""	""	""	"L5558"
"5p5.(2P*<3/2>).12d"	"2[3/2]*"	"1"	""	"11.988576"	""	""	""	"L3466"
"5p5.(2P*<3/2>).13p"	"2[1/2]"	"0"	""	"11.981100"	""	""	""	"L3466"
"5p5.(2P*<3/2>).12d"	"2[5/2]*"	"2"	""	"11.9819949"	""	""	""	"L5558"
"5p5.(2P*<3/2>).12d"	"2[5/2]*"	"3"	""	"11.9829591"	""	""	""	"L5558"
"5p5.(2P*<3/2>).10f"	"2[3/2]"	"1"	""	"11.99231"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10f"	"2[3/2]"	"2"	""	"11.99241"	""	""	""	"L10346"
"5p5.(2P*<3/2>).10f"	"2[9/2]"	"5"	""	"11.992554"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10f"	"2[9/2]"	"4"	""	"11.992565"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10f"	"2[5/2]"	"3"	""	"11.992928"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10f"	"2[5/2]"	"2"	""	"11.99300"	""	""	""	"L11704"
"5p5.(2P*<3/2>).14s"	"2[3/2]*"	"2"	""	"11.9931879"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14s"	"2[3/2]*"	"1"	""	"11.9939474"	""	""	""	"L5558"
"5p5.(2P*<3/2>).10f"	"2[7/2]"	"3"	""	"11.99324"	""	""	""	"L11704"
"5p5.(2P*<3/2>).14p"	"2[5/2]"	"2"	""	"12.00502"	""	""	""	"L10346"
"5p5.(2P*<3/2>).14p"	"2[5/2]"	"3"	""	"12.005407"	""	""	""	"L3466"
"5p5.(2P*<3/2>).13d"	"2[1/2]*"	"0"	""	"12.00554"	""	""	""	"L11704"
"5p5.(2P*<3/2>).13d"	"2[1/2]*"	"1"	""	"12.0062235"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14p"	"2[3/2]"	"2"	""	"12.006275"	""	""	""	"L3466"
"5p5.(2P*<3/2>).13d"	"2[7/2]*"	"4"	""	"12.0068883"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13d"	"2[7/2]*"	"3"	""	"12.0076829"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13d"	"2[3/2]*"	"2"	""	"12.0072342"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13d"	"2[3/2]*"	"1"	""	"12.01339"	""	""	""	"L6449"
"5p5.(2P*<3/2>).14p"	"2[1/2]"	"0"	""	"12.00799"	""	""	""	"L10346"
"5p5.(2P*<3/2>).13d"	"2[5/2]*"	"2"	""	"12.0085719"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13d"	"2[5/2]*"	"3"	""	"12.0093004"	""	""	""	"L5558"
"5p5.(2P*<3/2>).11f"	"2[3/2]"	"1"	""	"12.01625"	""	""	""	"L5272"
"5p5.(2P*<3/2>).11f"	"2[3/2]"	"2"	""	"12.01637"	""	""	""	"L10346"
"5p5.(2P*<3/2>).11f"	"2[9/2]"	"4"	""	"12.016451"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11f"	"2[9/2]"	"5"	""	"12.016451"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11f"	"2[5/2]"	"3"	""	"12.016736"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11f"	"2[5/2]"	"2"	""	"12.01682"	""	""	""	"L11704"
"5p5.(2P*<3/2>).15s"	"2[3/2]*"	"2"	""	"12.0169556"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15s"	"2[3/2]*"	"1"	""	"12.0175234"	""	""	""	"L5558"
"5p5.(2P*<3/2>).11f"	"2[7/2]"	"3"	""	"12.01699"	""	""	""	"L11704"
"5p5.(2P*<3/2>).15p"	"2[1/2]"	"1"	""	"12.02525"	""	""	""	"L5272"
"5p5.(2P*<3/2>).15p"	"2[1/2]"	"0"	""	"12.02818"	""	""	""	"L10346"
"5p5.(2P*<3/2>).15p"	"2[5/2]"	"2"	""	"12.02591"	""	""	""	"L10346"
"5p5.(2P*<3/2>).15p"	"2[5/2]"	"3"	""	"12.02631"	""	""	""	"L3466"
"5p5.(2P*<3/2>).14d"	"2[1/2]*"	"0"	""	"12.02627"	""	""	""	"L11704"
"5p5.(2P*<3/2>).14d"	"2[1/2]*"	"1"	""	"12.0267711"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15p"	"2[3/2]"	"2"	""	"12.02696"	""	""	""	"L10346"
"5p5.(2P*<3/2>).14d"	"2[7/2]*"	"4"	""	"12.0273131"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14d"	"2[7/2]*"	"3"	""	"12.0279046"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14d"	"2[3/2]*"	"2"	""	"12.0275472"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14d"	"2[3/2]*"	"1"	""	"12.03222"	""	""	""	"L6449"
"5p5.(2P*<3/2>).14d"	"2[5/2]*"	"2"	""	"12.0285807"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14d"	"2[5/2]*"	"3"	""	"12.0291441"	""	""	""	"L5558"
"5p5.(2P*<3/2>).12f"	"2[3/2]"	"1"	""	"12.03448"	""	""	""	"L5272"
"5p5.(2P*<3/2>).12f"	"2[3/2]"	"2"	""	"12.03456"	""	""	""	"L10346"
"5p5.(2P*<3/2>).12f"	"2[5/2]"	"2"	""	"12.03491"	""	""	""	"L11704"
"5p5.(2P*<3/2>).16s"	"2[3/2]*"	"2"	""	"12.0350204"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16s"	"2[3/2]*"	"1"	""	"12.0354592"	""	""	""	"L5558"
"5p5.(2P*<3/2>).12f"	"2[7/2]"	"3"	""	"12.03505"	""	""	""	"L11704"
"5p5.(2P*<3/2>).16p"	"2[1/2]"	"1"	""	"12.04148"	""	""	""	"L5272"
"5p5.(2P*<3/2>).16p"	"2[1/2]"	"0"	""	"12.04370"	""	""	""	"L10346"
"5p5.(2P*<3/2>).16p"	"2[5/2]"	"2"	""	"12.04194"	""	""	""	"L10346"
"5p5.(2P*<3/2>).15d"	"2[1/2]*"	"0"	""	"12.0422275"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15d"	"2[1/2]*"	"1"	""	"12.0425977"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16p"	"2[3/2]"	"2"	""	"12.04276"	""	""	""	"L10346"
"5p5.(2P*<3/2>).15d"	"2[7/2]*"	"4"	""	"12.0430395"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15d"	"2[7/2]*"	"3"	""	"12.0434923"	""	""	""	"L5558"
